CNI,FIRSTNAME,LASTNAME,TELEPHONE
AB1234,John,Smith,555-1234
CD5678,Emily,Johnson,555-5678
EF9876,Michael,Davis,555-9876
GH4321,Sarah,Brown,555-4321
IJ8765,David,Miller,555-8765
KL5432,Jessica,Taylor,555-5432
MN8765,Christopher,Anderson,555-8765
OP2345,Amanda,Jones,555-2345
QR6789,Ryan,White,555-6789
ST3456,Katherine,Martin,555-3456
UV7890,Brian,Thompson,555-7890
WX2345,Melissa,Evans,555-2345
YZ4321,Andrew,Hall,555-4321
AB8765,Rachel,Garcia,555-8765
CD9876,Daniel,Wright,555-9876
EF5678,Olivia,Turner,555-5678
GH5432,Matthew,Hill,555-5432
IJ2345,Lauren,Mitchell,555-2345
KL7890,Justin,Cooper,555-7890
MN8795,Hannah,Baker,555-8765
